address,tag,balance,txn_count
0xeab1d82e96541718e645fdef4a5ee9df78605b76,FAKE: TenX 7,0 Ether,0
0x69c46c1e40465ae9a6c90990ae1568005fe62d6e,FAKE: TenX 8,0.00000098 Ether,9
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,Fake_Phishing,0.00225906 Ether,9
0x93d8d5bb1f1e4822f3c614d9a09e7c5e3fabc13a,Fake_Phishing10,0 Ether,9
0xa6E71Bdc40952eb1C083E5Ae4940d70886296724,Fake_Phishing100,0.14992436 Ether,77
0x3a878eddb991ebcbc7c8052055b2e5ed5d0d1ba4,Fake_Phishing1000,0 Ether,87
0x9eea7fda3c78cd8c096ae229de8217a94cd1bcfe,Fake_Phishing1001,0.00064565 Ether,117
0xdfa8e0d144b1bd7b9f08cd05a7726cc20121292f,Fake_Phishing1002,0 Ether,8
0x8d4426f94e42f721c7116e81d6688cd935cb3b4f,Fake_Phishing1003,45.94865 Ether,14
0x5e1f89284b8283edcd082901b78c7589f39d5b51,Fake_Phishing1004,0 Ether,5
0x0f4cf489c65f5001843c525e1f374768dcad9b99,Fake_Phishing1005,0 Ether,38
0xe949A4c861089fBdE6eF1175C23E1485D5970567,Fake_Phishing1006,0 Ether,8
0xb48c99C37b7cf4AC0A1c2dcA518782C1FEB4f066,Fake_Phishing1007,0 Ether,26
0xb0608ca76d2ec6984f652829e887811516e4b846,Fake_Phishing1008,0 Ether,23
0x29c3aDF6f50E2186C21f5Ebb1aC073115831286E,Fake_Phishing1009,0 Ether,33
0xe7cc576611c2df800862db667140a90cf9ec4b72,Fake_Phishing101,0.00913077 Ether,8
0xdbbC7E7098f69FF271C7D12b75b53C099d3C883d,Fake_Phishing1010,0 Ether,36
0x3614E0bba4679C95DAa45201821cD212f9164205,Fake_Phishing1011,0 Ether,4
0xa5e83199a7ECB6669064d492F15ddC096b6cbAb8,Fake_Phishing1012,0 Ether,3
0xd5E846494DF899e0D7eA5e628501Dfe420D2643b,Fake_Phishing1013,0.1 Ether,22
0xeB32e949D214773fF718DfC92b4803BD14Db15c1,Fake_Phishing1014,0.01390355 Ether,7
0xa62cB4bD9E69E9170a2d973AA3aECE5A1215D41C,Fake_Phishing1015,0 Ether,10
0x7197e9D17B8A5d219e0FACEA59301Eb7eef5ef87,Fake_Phishing1016,0 Ether,7
0xf6238cBC1b74b183E54d63A555f867bAA00D92dF,Fake_Phishing1017,0 Ether,20
0x311e8FBacC2EC05793e14319ef0006F7A7516CBa,Fake_Phishing1018,0 Ether,11
0x882C3163237009DCA0Aa3d479f73EB55639339e4,Fake_Phishing1019,0.00277616 Ether,11
0x34743ffa1f93e745668725e44efeb3c50a237796,Fake_Phishing102,0.00096064 Ether,17
0xe6eb070bcef81fd12a198ba03fe393e9ee4cb671,Fake_Phishing1020,0.1921057 Ether,14
0xf77149cAC62F1b3DF7d8D0Cd951F152F28C72bB1,Fake_Phishing1021,0.04039337 Ether,141
0x89c0e39f3b3Be95c238912788687DBAebe7e6A2B,Fake_Phishing1022,0.680139 Ether,25
0x6e65c01099ACfDA3FDCEe97249CaF30241baF679,Fake_Phishing1023,0 Ether,2
0x98d67bc5bA8e43721972204e5e1e4EAEf43CADb1,Fake_Phishing1024,0.29260229 Ether,7
0xcc2c4c1b9bEe3E9AE45b5c9024c3d032387830b8,Fake_Phishing1025,0 Ether,0
0xCC13856aC5ec565c2Ef8770a347a224351163DcA,Fake_Phishing1026,0 Ether,23
0x346B909240978658eC69C3f6E0D7CBeF50Bc3C79,Fake_Phishing1027,0 Ether,36
0xB7f9FDB9f3f6142cF5e2b7bEE8AEbA059dfb091b,Fake_Phishing1028,0 Ether,35
0xa3e785ee490e1102fe32512973c96Dc7DC876348,Fake_Phishing1029,0 Ether,579
0x8ee2ba41ef59b5773e5909451e0b8bad4e59a81b,Fake_Phishing103,0.00958 Ether,2
0xdC057405A5DeE9074635c0D3a991580b66a34d9c,Fake_Phishing1030,0 Ether,0
0xf591bBF70178bCAa80D306Ab65755ab7038962Cd,Fake_Phishing1031,0 Ether,12
0x1443975e90EC15e7c070514831070581Ae2Fb929,Fake_Phishing1032,0 Ether,0
0x1b8ee5cB5520ea3d12F64a8973c2A4F0cbcB1564,Fake_Phishing1033,0 Ether,26
0x57a3d07e27475aa8f5d306b7bb25aebfd27c4512,Fake_Phishing1034,0 Ether,12
0x14F8B4FEa8788eFE643EAAd0B10B37423b73215F,Fake_Phishing1035,0 Ether,0
0x5ed7046abeb1fa06f54283a2eb4a09efa2711a8a,Fake_Phishing1036,0 Ether,7
0xdd0940c356ebe5bb23039bbf6c83f33c7d510dc9,Fake_Phishing1037,0.0093877 Ether,27
0xDD44566108758d8C8224D303EF92492229014a2A,Fake_Phishing1038,0.00044255 Ether,6
0x00EB6f5199cD0B671da371969B1A0F948e982Fea,Fake_Phishing1039,2.508278 Ether,23
0xea72a2A01c1126d5629D83aab4f448De670924D9,Fake_Phishing104,0 Ether,0
0xb13832f29e4ab6b523eb0167f46e014682c5a823,Fake_Phishing1040,0 Ether,0
0x5a9ca3c6362a53edfc78503d65a6a3b7d9af6992,Fake_Phishing1041,0.00000011 Ether,6
0x2Bbe1297d729BC7f7558aFb43404F0f0A544D206,Fake_Phishing1042,0 Ether,5
0x70ba69fCb5720BA8D573b78f641eEcB775C0E5a9,Fake_Phishing1043,0.0017824 Ether,33
0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e,Fake_Phishing1044,2.56791398 Ether,4
0x45f7582fd6445918912977b9460475b5524cf962,Fake_Phishing1045,0 Ether,20
0xaC57457748d66139ec89a6D1b13BF119A1EFb31a,Fake_Phishing1046,0 Ether,4
0x2Dc5616EC2b9D24906F0e11dC8D8a736392dFeDD,Fake_Phishing1047,0 Ether,25
0xf346fdCd5A205bA8F25edf0ffcddcc7a6583ac65,Fake_Phishing1048,0 Ether,0
0xA196a0D86e50f901E19c74ffC994A029A233d211,Fake_Phishing1049,0 Ether,0
0x699CbEAa28A49e096DF00011d734803a0B8f5F80,Fake_Phishing105,0 Ether,21
0xa3eE246232eBd99EC9A07851116f9F67380C5E6F,Fake_Phishing1050,0 Ether,45
0x934f49fCF451A34026E3dFc3f26a1De01b83b509,Fake_Phishing1051,0 Ether,34
0x5AB5Ed6d05055B714d9D5F4Bb027C6835EA8aCFB,Fake_Phishing1052,0.00037 Ether,3
0xdb53ce480bac3ce96fdb79fae1156f80b6925e05,Fake_Phishing1053,0 Ether,144
0xded605e5a25d7e6808d726a52257ac5e65b99475,Fake_Phishing1054,0.00004102 Ether,18
0xf261B3A60Ef40eE0B369B0705c1a2c58B02799DF,Fake_Phishing1055,0.00061322 Ether,57
0x179b553f677766183e7cd2ae8c148ace69db7cdd,Fake_Phishing1056,0 Ether,3
0xa0d4BEE1BeEaFce031C56CfB40210746Cc6Ab2D0,Fake_Phishing1057,0 Ether,7
0x9B76AD3435E2cBd4e08FEeA210a9972465a4748C,Fake_Phishing1058,0 Ether,4
0xcc7ecc050aab5843c79f14933e207f032bc16b78,Fake_Phishing1059,0 Ether,36
0x7098c7113c2ecaf48baad07e598c74c2689a5795,Fake_Phishing106,0.2 Ether,21
0xC42bFd4F93b46037888602c3e7E6E57d65E87E73,Fake_Phishing1060,0 Ether,16
0x84106febe96b45d1a6cf1dceec8285c46faf25de,Fake_Phishing1061,0 Ether,29
0x0C4762Bc7B1Af1DC9448A827f53861c118B712dE,Fake_Phishing1062,0.509139 Ether,15
0xc1f9c01602043fcef642cc8601bda13ca29b7a9c,Fake_Phishing1063,0.0005398 Ether,18
0x34bb6cf517abb83bfd8bc4e41ed899810ac49b58,Fake_Phishing1064,0 Ether,14
0x83940770976605dda722a620dd9d91825c8d65dc,Fake_Phishing1065,0 Ether,6
0xca8e988ffb5a662f8201c90b6a45cc7826f5f15a,Fake_Phishing1066,0 Ether,4
0x7942ec88b93ac9227957a118d8d09aa736c886a1,Fake_Phishing1067,0.04802178 Ether,73
0x1a81433309A5341D897108255D64208FDF4E42B1,Fake_Phishing1068,0 Ether,0
0x762ad6be3f56a132f99cc0cd6ba4c84d1e992824,Fake_Phishing1069,0.00000008 Ether,9
0xff9dEB48Ca4513B24e213fbB435EF8293eb140Bd,Fake_Phishing107,0 Ether,0
0xd6572692BE52881905Dd59d4984cC7E61A2514e7,Fake_Phishing1070,0 Ether,21
0x9826D8246E0c38cd3EC3f8b6D733be6001c2c712,Fake_Phishing1071,0 Ether,42
0x3a1ba1e4510d36272d1e1d708787Befa1780b778,Fake_Phishing1072,0 Ether,9
0x52beed3924b0824411d03ea2fe51e429717dcf10,Fake_Phishing1073,0 Ether,22
0x7ed44f8b304cd71664cbe8c94614660859fca2c6,Fake_Phishing1074,0.05 Ether,1
0x54b623c82365ef20680b17301bd949bcd5599eb9,Fake_Phishing1075,0 Ether,22
0x3f2cf669c657316985b01b1b797cb259c97d6551,Fake_Phishing1076,0.000205 Ether,12
0x1691b2f9986598e12c57aba5be50ebd5346247e0,Fake_Phishing1077,0 Ether,10
0x873a35f651892aee1d9360be80ae904f7d76068f,Fake_Phishing1078,0 Ether,2
0x804a67880f461c2ba4b927a10e99e371962b0f3f,Fake_Phishing1079,0 Ether,9
0xdccea2e783d873acb4ccfb7dead1004d90ad481d,Fake_Phishing108,0.02941001 Ether,38
0x4bc2055440dd519fa4d448d2d6899e6604aaedc5,Fake_Phishing1080,0 Ether,3
0xe87d279d090df4ba19c0e19958d9ac61be5c6909,Fake_Phishing1081,0 Ether,0
0x368be389ce940bf17c3296344086e368bc4c60f3,Fake_Phishing1082,0.00887549 Ether,16
0x8c9d135ac2778e1a7d326932aad302e7c22c94d7,Fake_Phishing1083,0 Ether,31
0x0a888f0f0b772e17a2adfd62d3f15cec72c8d42f,Fake_Phishing1084,0 Ether,19
0xfac9eeb5cc03db0cff26e518f19ccfbf080689a1,Fake_Phishing1085,0 Ether,0
0x9db99e73c52bcc353963022ac184a25e80f655bd,Fake_Phishing1086,0 Ether,5
0x705f704d11020ff07acde8592bb80b044e15de16,Fake_Phishing1087,0 Ether,8
0x85234c92d4dddf239df9c76497a6516fdf546577,Fake_Phishing1088,0 Ether,10
0x5970d26c51397578c2b3420d20fbb2bcc5c5b00e,Fake_Phishing1089,0 Ether,0
0x580C2261F2B232D17bd5f62Edc6B07e67585A829,Fake_Phishing109,0.1 Ether,1
0x5580fb6e95230bf16ae7e2c6467d11566ed5b3ea,Fake_Phishing1090,0.00541092 Ether,27
0x794cd1329493dc9c6ceb0ec9955890d392c811da,Fake_Phishing1091,0 Ether,0
0xc3caf142a41b0fae78a922c25fc0eecdcf0985d1,Fake_Phishing1092,0 Ether,8
0x09430a9fb46a1a3b83980768c4cedf654d8eefa3,Fake_Phishing1093,0 Ether,0
0x92cd726ce03ceaa4bf7198ce9c52d05d63cee575,Fake_Phishing1094,0 Ether,11
0x10c44ab858b90e09c725158906f71833ff417acc,Fake_Phishing1095,0 Ether,5
0x8af1380c436fc019b8055c61d09e3ee5f182278c,Fake_Phishing1096,0 Ether,0
0x35919ff0a88a0bdfd1b0ef3be574bcf6c1e90e01,Fake_Phishing1097,0.00648054 Ether,9
0x3eadb407f81d62d27f63a8881805b1735f70e692,Fake_Phishing1098,0 Ether,17
0x299628fd380813622305517e64eee89bb6a49ca3,Fake_Phishing1099,0 Ether,0
0x65ef72c11C53c9Ae2fc923cf7780DD030C02Ae0A,FAKE_Phishing11,0 Ether,4
0x354d4f3eb48be676a030f98e2a6c5bc06b96e249,Fake_Phishing110,0 Ether,34
0x7d922a4f7f24ffcb130c4eeaf291a6475e3e4dd2,Fake_Phishing1100,0.000139 Ether,3
0xbeaad836e717dd22f59752d60223971db197ef4e,Fake_Phishing1101,0 Ether,0
0xb9ee29ff43d319c126ed2dbdd74d49a2659ede56,Fake_Phishing1102,0 Ether,20
0x4910e010ebf5b3366d1e80a134c1fa538ff7994c,Fake_Phishing1103,0 Ether,18
0x2276f412d2ae5dc2cdc293b0df70a8273f6f6771,Fake_Phishing1104,0 Ether,14
0x497e4c58a4106fee817e3bece3c5c029e964eb49,Fake_Phishing1105,0.0074262 Ether,7
0x2af0b9190aa127c1989886670481381b5b549985,Fake_Phishing1106,0 Ether,6
0xae9dcec1fb0814ca02ca1e6690d05f33488b4c8b,Fake_Phishing1107,0 Ether,21
0x598f0f5fed15632e915ab3c2f928a1e02be8e30d,Fake_Phishing1108,0.09634417 Ether,10
0x4a8d9b64ee9c7e058fe9c8cbf96375b02da006e2,Fake_Phishing1109,0.00043457 Ether,25
0x28184D2F5e2A47FCd5e528230d18cC3eB2cD0A6d,Fake_Phishing111,0.000559 Ether,2
0xe7a06aab8286cef4206942a4891ee95a40e86466,Fake_Phishing1110,0 Ether,50
0xf6f7cac4adef7e448cef8fceb14032e6e55a0dfa,Fake_Phishing1111,0 Ether,4
0x8a0e85901849b40a7f80399a00f7115193c0bdb2,Fake_Phishing1112,0 Ether,45
0xbb5f90c64920667a2851fd97e955248f04e16b75,Fake_Phishing1113,0 Ether,0
0x2d301d74a8d303da6408cc2dfda319bbeb48c125,Fake_Phishing1114,0 Ether,13
0x8408263f4f0691db34bd7666b5af61e19cb91b91,Fake_Phishing1115,0.00882937 Ether,15
0x2eb045d518290aca828046641d29f605ead1a283,Fake_Phishing1116,0 Ether,3
0xd582cec308d9320b2ec3dc2868b56549fc8ace5a,Fake_Phishing1117,0 Ether,10
0x7b66563dd534c3e66fee08c995da9d5e77c883f9,Fake_Phishing1118,0.005895 Ether,10
0xb9b9b6aca1a0cf4ea4eb0ced466d66a62f8eb072,Fake_Phishing1119,0 Ether,27
0x3fdd0bb90f7bb6fcf58b35865d4744df8ef30404,Fake_Phishing112,0.000089 Ether,2
0x4810b1571775dd861c61d87fbea1008e030a8ddf,Fake_Phishing1120,0 Ether,12
0xf51b4021c6f1af31f44bf575188986e733a971fe,Fake_Phishing1121,0 Ether,6
0x78c544eede78eb781707a1d46377bf6be9d028df,Fake_Phishing1122,0.009139 Ether,4
0x6931e6948702245964dd446333c3bebd989d5e76,Fake_Phishing1123,0 Ether,9
0xb3510c6786b90c2065644825bd34c4219f1460ff,Fake_Phishing1124,0 Ether,0
0x97b20481241fe3cb9cc9ba50609d377b2506cdaa,Fake_Phishing1125,0.13386766 Ether,15
0xd289bc0a919e75b824f4dfc376e9f24c119ed3f3,Fake_Phishing1126,0.00737 Ether,9
0xa43d3805105922989e58a5188193c283fff471e7,Fake_Phishing1127,0 Ether,2
0xb53e95a4b7c5e15a790df3a66709b2e9f1cf9e3f,Fake_Phishing1128,0.60256042 Ether,19
0x95c5db5bd9a0260fc457af4f6fc6de7819d9b1a6,Fake_Phishing1129,0 Ether,12
0x5Ec707525B04E22B2d207Faa1912569F79e74E8A,Fake_Phishing113,0 Ether,0
0x95ffcdf36129e5e256190609cd97841d03e52356,Fake_Phishing1130,0 Ether,22
0x4fbc4c6c416a84e04b2239202396f378d7af51ee,Fake_Phishing1131,0 Ether,15
0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,Fake_Phishing1132,0 Ether,11
0xa0c7d4f3fc7f8a46fb58990228d0b82a0354f371,Fake_Phishing1133,0.0000097 Ether,14
0xdccdce28bba5b796724f1b50ab350403d895fe08,Fake_Phishing1134,0 Ether,9
0x548ac87629ceb858aa09b419f5b9898ec5735fba,Fake_Phishing1135,0.005895 Ether,18
0xf12d3f5d38c2408da3122cee1432e89c16522b3b,Fake_Phishing1136,87 wei,10
0xb619a34abac80478ae6a93527fdeaeeb0e51e934,Fake_Phishing1137,0 Ether,0
0x23397c5d9c6363d67b3a294b677f80f93949bf56,Fake_Phishing1138,0 Ether,22
0x72a8bf69f282c2eb752d48b7778c0f0b6eaeabac,Fake_Phishing1139,0 Ether,0
0x71bDCbDD42EA7B9c646A9A50e170FdE7835cdf88,Fake_Phishing114,0 Ether,0
0x5093c4029acab3aff80140023099f5ec6ca7d52f,Fake_Phishing1140,0 Ether,22
0xac14590ad8184a48302f59a8baaf924b865de4c5,Fake_Phishing1141,0 Ether,34
0xcaa5854034d7eda409e2479c6c0351c167e21a08,Fake_Phishing1142,0.009139 Ether,26
0x7f5d2fe39cd0c9924283cd5e92377a4894e3313a,Fake_Phishing1143,0 Ether,0
0xd914c1152a0e4974dc3985e9b6f6905e002ebb3d,Fake_Phishing1144,0 Ether,0
0x52bef206e8e0403cd60d37e48f4f3860d9545556,Fake_Phishing1145,0.00060416 Ether,15
0x6d1ca9ee33f0806bd37a8ac4c418a0ecb0c9f086,Fake_Phishing1146,0.00151547 Ether,1
0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,Fake_Phishing1147,0 Ether,3
0xf7355cb5278fc4be2f53ce373f7cd9b543d042a1,Fake_Phishing1148,0 Ether,35
0x38b9dafe93f0b3ab7d35ac42165b73c0f3c5fd8c,Fake_Phishing1149,0.00013296 Ether,19
0x6Cd5d658bAC5C7c6b9946382B42290dc39dd7f25,Fake_Phishing115,0 Ether,0
0x634cdd7ebeccccf517cd8f4eca959474bc1b58cc,Fake_Phishing1150,0.00000009 Ether,8
0xb5eb9d18c0413535baf1fa8bd8bf8f6ea7fea47a,Fake_Phishing1151,0 Ether,17
0xe3224fa0197de258ba065c35380d7dfd2396ec89,Fake_Phishing1152,0.0008572 Ether,82
0x91459992bcbf089851abffa033559c2eef120469,Fake_Phishing1153,0 Ether,40
0x1890d4a49faf31088e5ede045e3a985c82b21f11,Fake_Phishing1154,0 Ether,0
0xd787e430cf92d42fa28b7643e41ea1d871a19fff,Fake_Phishing1155,0 Ether,12
0xbaf18322ce288b08b2c58081fd0d1a9f03a9ea37,Fake_Phishing1156,0 Ether,7
0xc4b1a260735fdc817409183db8594baf9f0b0f2f,Fake_Phishing1157,0.009139 Ether,15
0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,Fake_Phishing1158,0 Ether,5
0x9a4afeaecd8efe2a7186365b55e72503d555713b,Fake_Phishing1159,0 Ether,13
0xaa6a6d930fdc6f32ffc38db4ea6c4668dd10c15b,Fake_Phishing116,0.00874 Ether,2
0xf76dea0a7ed40e379cc834cf94a6bdc59ac11044,Fake_Phishing1160,0 Ether,8
0xedc0c49946b93aa296a11298480ae7913bb65222,Fake_Phishing1161,0 Ether,27
0xebd411aa59b4456f45529a7cc203f87c0e104947,Fake_Phishing1162,0 Ether,0
0x754a7657092fd2862338ff06ce02cfc389d49e21,Fake_Phishing1163,0 Ether,16
0x011da0ab16577cbb73374a5b9b869d66253150e7,Fake_Phishing1164,0 Ether,0
0x0c8b740e3377f2be7a108aeba6a2f660588c728d,Fake_Phishing1165,0 Ether,85
0x08986f5cecd3cb8882e4a34a16961e3124377291,Fake_Phishing1166,0 Ether,3
0x64c940690a3660e68d93d8c6412d900bdd3e11e5,Fake_Phishing1167,0 Ether,22
0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,Fake_Phishing1168,0 Ether,23
0x588c0e4af4bb0cd6e63e898bf8ad555452297326,Fake_Phishing1169,0 Ether,174
0xD31BD0CF9D6800AC573679D1bAF21F79E0492EF6,Fake_Phishing117,0 Ether,0
0x41467711f2d1f6021119ffb113ae0e78251b45fa,Fake_Phishing1170,0.0061231 Ether,78
0x860b62006ea05a05c7638d16a106858450bde336,Fake_Phishing1171,0 Ether,0
0x043375ebc36fff7a4fcef1359f3c89afddf56e08,Fake_Phishing1172,0.00357909 Ether,28
0x6353940eabe11c7cd78ecc2085ae65cdacc5a92b,Fake_Phishing1173,0 Ether,25
0x0967c50bfec4dba06e28e8fdbcfd15a23474fab4,Fake_Phishing1174,0.00950897 Ether,14
0xe56303d8ff8c25c240f41d90fcaae1469c5b5f77,Fake_Phishing1175,0 Ether,35
0x19bfd8a539ca899983b30e1d1c3370ac03d6b7ab,Fake_Phishing1176,0 Ether,32
0xeeb70fd96f6c8838aeffb9d8dc042eab97b1bb09,Fake_Phishing1177,0 Ether,12
0x2cc762c27a50d18e50efcd3bee9e3154e3bb094d,Fake_Phishing1178,0.005895 Ether,28
0x6c20ef21e604028c649247c581e8e49fda6191ca,Fake_Phishing1179,0 Ether,21
0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,Fake_Phishing118,0.00212336 Ether,24
0x9ee1e7d4f70a698689557b6bb67e8b6555e36d59,Fake_Phishing1180,0 Ether,54
0x41075e21827263e149b8bb26ff7eb5b185c7b0ca,Fake_Phishing1181,0 Ether,0
0x5caa556d0b8fa8622b1746bcc1211429737dcafc,Fake_Phishing1182,0 Ether,5
0x7db9656fc8435f765df5748e32bf329098ffb5fb,Fake_Phishing1183,0 Ether,31
0x903dc47aa7c40f9f59ef1e5c167ce1a9b39a2bff,Fake_Phishing1184,0 Ether,24
0x9655eb5183e3d373c6db087dd8fc6dae3c5047f1,Fake_Phishing1185,0.00117936 Ether,19
0x1056d8d9ebb0e0d8710a0e2a1852d4a09d56464a,Fake_Phishing1186,0.009139 Ether,4
0xecf37af81b814d418b5cdf2ec985508888d7c67a,Fake_Phishing1187,0.0018 Ether,0
0x181c71726f12ce2514e8b93019eb22645a79f966,Fake_Phishing1188,0 Ether,75
0x40C86Fd8D092d997b5Ca19D58956A0b9cD14C130,Fake_Phishing1189,0 Ether,0
0xc0dED1d24c071ca13A905EC5E54A6Ffdd0c4dF68,Fake_Phishing119,0 Ether,9
0x0324A5f6289e647BAf88d9c96c331Cf964220ce8,Fake_Phishing1190,0.000018 Ether,3
0x868413a5D2FE073114e5358C576779AD10dF2644,Fake_Phishing1191,30.12371756 Ether,3
0x9e55507a10af47f0a60493e77af432d588b9907b,Fake_Phishing1193,0 Ether,21
0x3Cf5b9484aB874aF65eBF7713337a03814538B0d,Fake_Phishing1194,0 Ether,7
0xA888868100e2A027ed97425A2307958B99A9495F,Fake_Phishing1195,0.05280538 Ether,44
0x4cEaD27a6A2aAEdAa44d35D8BF2a2c9370AbbE6a,Fake_Phishing1196,0.02408549 Ether,153
0x1aFa01D567434482dcb3Ea955b39778589176247,Fake_Phishing1197,0.00001545 Ether,360
0xbdD5645986F492954465b5E407f7528C0cF88fFA,Fake_Phishing1198,0.02647689 Ether,78
0x89C5043A38736F37D12bF1d3a1bb82894b3ebE14,Fake_Phishing1199,0.2018623 Ether,27
0xa4B4cB99a583Cd6c570af1223d7c11514C8e92b3,Fake_Phishing120,0 Ether,0
0x636141B2C9a53371fAA2a2FE90e4d4c6b801397b,Fake_Phishing1200,0 Ether,2
0xa61344257eD7C98b4690572E63797D75B0753f96,Fake_Phishing1201,0 Ether,6
0x4D8f7cFAE437D2C3Aa63827Be98A3dbd1bd9edf5,Fake_Phishing1202,0.00048368 Ether,208
0x9e19462787be36e5e3676ad2428b26599bf9866c,Fake_Phishing1203,0 Ether,202
0x7f642b25a930f732f4214f69df0d0d2f647bcc63,Fake_Phishing1204,0 Ether,11
0xaa6ac9F7500A42Ca0e76e0176fACe67938Daaa11,Fake_Phishing1205,4.206139 Ether,3
0x91e35d6c5B7323647e0cc1d274A072AC5CBB4340,Fake_Phishing1206,0 Ether,0
0x024C344DA7208e60356378a252dAb771c34Be111,Fake_Phishing1207,0 Ether,22
0xE30ee6f6a973a07687c60BE30C1b17818BC1C2A5,Fake_Phishing1208,0 Ether,2
0x6b7C523F0655Bd5a18e4cc53b53659Cd3def0307,Fake_Phishing1209,0 Ether,3
0x2003fc0B9D53f934F9BBD57304ccdd5fD2b37C50,Fake_Phishing121,0 Ether,0
0x8858297c69ed011c48feAa96F0c89349Ef389B67,Fake_Phishing1210,0 Ether,7
0xf36b756013f80b162e8713fb37df7dda0cd7f143,Fake_Phishing1211,0 Ether,4
0x118db57c34621acd0a91f02c8c18cd1a3ad7c213,Fake_Phishing1212,0 Ether,9
0xeae0b6b040bf8adc143382d166cc008d8c317b23,Fake_Phishing1213,0 Ether,0
0xcde79393c6f0deb9b7b51579a386c853feb8e104,Fake_Phishing1214,0.058569 Ether,7
0x2d7e6ab02d3f975248c747eacb99107bc597e4ce,Fake_Phishing1215,0 Ether,0
0xDC3896Be3EB4bB3B3eb2f936348E942796078920,Fake_Phishing1216,0 Ether,15
0x8909cc8d294544ca2c956550edbcb59ce4f2a9ad,Fake_Phishing1217,0 Ether,41
0x420Feb48dbB9fd6bD2B93da8770d8d3eb3e8cc6F,Fake_Phishing1218,0 Ether,6
0xa6048aF9Aee7A179777524A6968C20Ac0EB1f125,Fake_Phishing1219,0 Ether,32
0xca4da1753336aa8340710e0e1a8c0bee2bfbf56c,Fake_Phishing122,0 Ether,24
0xf8366eDDaE63af9cE1104dfFF47Bc1e29c98362F,Fake_Phishing1220,0.000139 Ether,7
0x7929417834345d62b366d027fb143eaa179ddbce,Fake_Phishing1221,0.02084467 Ether,21
0x46791Beea3b9138F03D312801887D907830DCE51,Fake_Phishing1222,0 Ether,8
